B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLOUDY_PIXEL_PERCENTAGE,MEAN_SOLAR_ZENITH_ANGLE,NODATA_PIXEL_PERCENTAGE,SENSING_ORBIT_NUMBER,SPACECRAFT_NAME,date,lat,lon,PID
709,3916,3442,1184,1736,2274,2551,2630,2835,2846,2921,2804,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.28980759961705,70.66800294315374,ID_ZaKEFI
709,3769,3304,1116,1722,2236,2570,2590,2744,2802,2888,2804,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.2898080805455,70.66809577197367,ID_ZaKEFI
568,3877,3684,789,1274,2208,2565,2708,2880,2822,2967,3011,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.32608469768037,70.66129851710691,ID_xFLwnc
553,3796,3435,823,1286,2130,2366,2534,2721,2798,2833,2945,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.326085184551076,70.66139136163093,ID_xFLwnc
547,3416,2763,728,1168,1526,1728,1866,2034,2130,2221,2394,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.2551285390598,70.74190847147091,ID_9uA1am
595,3655,2992,822,1262,1634,1856,1990,2175,2252,2382,2691,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.255128987845055,70.7420012836754,ID_9uA1am
541,4139,3541,771,1296,2166,2404,2677,2853,2902,3005,3024,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25088069105192,70.7414895499129,ID_c7kMBA
541,4283,3780,832,1356,2270,2575,2703,2923,2962,3122,3024,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25088113962651,70.74158236031693,ID_c7kMBA
541,4168,3721,897,1442,2224,2479,2713,2897,3010,3087,3024,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.25079074076534,70.74156949974306,ID_c7kMBA
661,3438,2755,1080,1506,2156,2281,2527,2832,2934,3038,2858,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26276734251161,70.77137795292538,ID_es25DW
755,3782,2960,1284,1792,2556,2743,2876,3068,3350,3371,3272,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.262767780399976,70.77147076762787,ID_es25DW
732,3522,2908,1060,1630,2048,2332,2557,2844,2974,3015,2854,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.26267694286402,70.77136506914962,ID_es25DW
726,4004,3062,1016,1614,2288,2820,3020,3255,3440,3564,3371,0.000693,42.9779303059,0.0,135.0,Sentinel-2B,2019-12-18,46.28253852148776,70.82725730385056,ID_zDkYD2
